timestamp,voltage,current,active_power,energy_consumption,power_factor,temperature,humidity,light_intensity,building_type,occupancy_level,operational_schedule,electricity_tariff,appliance_category,demand_kWh
1779653981,232.26,5.81,1248.72,26.22,0.98,31.0,69.0,192,Residential,76,Nighttime,Standard,Computers,1045.2
1779659141,233.43,4.55,1034.43,22.76,0.9,33.2,65.8,178,Residential,5,Daytime,Peak,HVAC,744.9
1779664301,224.98,8.5,1679.52,38.63,0.81,31.5,88.2,53,Residential,8,24/7,Peak,HVAC,375.2
1779669461,223.14,8.06,1578.77,37.89,0.85,28.2,56.8,106,Commercial,44,Daytime,Peak,Computers,323.75
1779674621,212.85,10.04,1652.67,41.32,0.87,29.6,84.0,171,Commercial,78,Daytime,Off-Peak,Lighting,320.0
1779679781,220.27,7.63,1304.58,33.92,0.95,26.1,58.5,13,Industrial,76,Daytime,Off-Peak,Lighting,809.4
1779684941,218.74,13.77,2819.06,76.11,0.84,27.3,73.8,181,Residential,90,Nighttime,Peak,HVAC,510.99999999999994
1779690101,239.41,16.77,2848.73,79.76,0.85,23.7,80.0,112,Residential,63,Daytime,Standard,Lighting,836.5500000000001
1779695261,238.46,2.96,663.74,19.25,0.82,34.0,54.6,423,Commercial,71,Daytime,Peak,Lighting,341.0
1779700421,219.59,2.76,583.38,17.5,0.85,30.4,57.9,199,Residential,83,Daytime,Standard,HVAC,824.85
1779705581,237.31,13.9,2719.86,84.32,0.97,26.9,50.2,982,Residential,72,Daytime,Peak,HVAC,871.0
1779710741,236.64,10.47,2308.06,73.86,0.9,25.2,65.7,838,Commercial,32,Nighttime,Standard,HVAC,863.25
1779715901,216.89,18.36,2929.58,96.68,0.98,30.6,55.6,673,Residential,5,24/7,Off-Peak,HVAC,511.2
1779721061,225.02,3.54,634.83,21.58,0.8,31.0,81.1,978,Commercial,15,Daytime,Standard,Lighting,842.25
1779726221,230.31,8.43,1752.66,61.34,0.95,25.9,88.6,805,Industrial,20,Daytime,Peak,Lighting,632.4
1779731381,219.58,14.31,2783.48,100.21,0.98,26.9,80.8,897,Industrial,63,Daytime,Standard,HVAC,634.5
1779736541,216.02,13.82,2321.82,85.91,0.87,31.0,74.1,58,Industrial,57,Daytime,Peak,HVAC,639.0
1779741701,234.78,2.05,363.14,13.8,0.87,33.2,88.0,79,Commercial,10,24/7,Peak,Lighting,287.25
1779746861,227.97,8.88,1938.36,75.6,0.96,26.5,64.2,178,Industrial,93,Nighttime,Standard,HVAC,704.0
1779752021,235.72,7.58,1694.95,67.8,0.88,24.6,51.9,6,Industrial,63,Daytime,Peak,Lighting,802.1999999999999
1779757181,224.52,11.74,1979.85,81.17,0.99,26.1,65.8,128,Industrial,92,24/7,Off-Peak,Machinery,850.8
1779762341,239.21,13.65,2416.76,101.5,0.92,25.3,62.4,147,Residential,54,Daytime,Peak,HVAC,439.95
1779767501,226.65,6.11,1110.76,47.76,0.93,27.8,72.5,185,Industrial,42,Nighttime,Peak,HVAC,748.8
1779772661,225.8,8.39,1484.23,65.31,0.96,26.2,56.5,652,Residential,31,24/7,Peak,Computers,819.65
1779777821,213.02,16.39,2682.26,120.7,0.85,31.4,61.4,724,Industrial,24,Nighttime,Off-Peak,Lighting,584.0
1779782981,223.99,9.79,1992.5,91.66,0.91,33.9,73.2,473,Commercial,7,Daytime,Off-Peak,Computers,292.25
1779788141,236.21,15.38,3339.94,156.98,0.98,25.2,61.1,382,Residential,78,Nighttime,Off-Peak,HVAC,842.4
1779793301,219.65,13.53,2208.47,106.01,0.93,27.1,72.8,150,Residential,85,Daytime,Standard,HVAC,662.85
1779798461,231.84,4.0,779.08,38.17,0.81,32.1,88.6,875,Industrial,39,Nighttime,Peak,Machinery,674.4
1779803621,230.19,4.89,797.64,39.88,0.88,27.9,56.0,413,Residential,100,24/7,Peak,Machinery,622.35
1779808781,233.48,9.87,1869.69,95.35,0.97,29.9,89.9,619,Commercial,63,24/7,Peak,Machinery,931.5
1779813941,220.97,18.74,2941.82,152.97,0.82,35.2,74.0,150,Commercial,33,24/7,Peak,Lighting,822.75
1779819101,231.47,3.51,699.25,37.06,0.93,33.4,79.9,138,Commercial,39,24/7,Off-Peak,Machinery,299.5
1779824261,231.7,3.35,733.69,39.62,0.95,27.0,60.7,182,Residential,9,24/7,Off-Peak,Lighting,703.95
1779829421,219.5,14.03,2298.17,126.4,0.82,28.6,65.5,28,Commercial,68,24/7,Peak,Machinery,327.5
1779834581,232.43,19.75,3454.34,193.44,0.96,25.7,77.7,79,Residential,6,24/7,Standard,HVAC,661.0500000000001
1779839741,235.13,11.97,1974.83,112.57,0.94,24.4,87.5,129,Residential,29,24/7,Peak,HVAC,438.9
1779844901,217.09,5.99,1139.34,66.08,0.93,31.6,83.1,119,Industrial,26,Nighttime,Standard,Lighting,691.8
1779850061,224.56,8.18,1364.48,80.5,0.81,23.6,58.7,181,Residential,7,24/7,Off-Peak,HVAC,354.9
1779855221,225.66,11.13,2009.48,120.57,0.85,24.0,73.5,105,Commercial,62,Daytime,Off-Peak,Computers,321.75
1779860381,239.12,17.6,3134.84,191.23,0.92,25.3,57.8,796,Commercial,33,Nighttime,Standard,HVAC,296.0
1779865541,224.12,4.52,903.25,56.0,0.87,24.8,50.9,522,Industrial,80,Nighttime,Off-Peak,Machinery,644.5
1779870701,229.57,8.36,1699.89,107.09,0.94,28.0,66.3,570,Residential,83,Nighttime,Peak,HVAC,924.3000000000001
1779875861,229.85,18.49,3953.45,253.02,0.95,34.5,61.3,956,Industrial,64,24/7,Off-Peak,Computers,658.5
1779881021,216.4,18.17,3158.65,205.31,0.81,31.0,87.3,214,Industrial,41,24/7,Standard,Computers,778.8
1779886181,227.74,13.21,2577.11,170.09,0.89,25.3,81.4,232,Residential,10,Daytime,Peak,Computers,499.95
1779891341,232.68,13.72,2940.58,197.02,0.89,33.2,56.9,675,Industrial,97,Nighttime,Off-Peak,Machinery,876.0
1779896501,219.03,3.96,752.37,51.16,0.98,26.3,77.9,920,Industrial,18,Nighttime,Off-Peak,HVAC,687.0
1779901661,228.66,19.8,3416.44,235.73,0.95,27.9,56.8,615,Commercial,92,Daytime,Standard,HVAC,376.5
1779906821,235.22,17.88,3872.09,271.05,0.93,28.8,70.7,152,Industrial,68,24/7,Peak,Computers,655.5
1779911981,232.02,10.19,2268.69,161.08,0.98,35.4,71.6,23,Commercial,88,Daytime,Standard,Machinery,343.0
1779917141,232.34,12.18,2672.02,192.39,0.99,24.9,51.9,25,Residential,23,24/7,Standard,HVAC,728.65
1779922301,212.0,12.44,2510.54,183.27,0.88,32.7,64.7,13,Residential,84,Nighttime,Peak,Lighting,874.9
1779927461,215.88,14.24,2256.91,167.01,0.98,29.4,77.5,116,Commercial,89,24/7,Off-Peak,Computers,360.75
1779932621,215.87,7.77,1469.75,110.23,0.82,33.2,61.9,56,Commercial,98,Daytime,Off-Peak,HVAC,363.5
1779937781,214.31,8.15,1542.04,117.2,0.9,26.8,59.2,50,Residential,4,24/7,Off-Peak,HVAC,411.25
1779942941,229.68,18.02,3230.69,248.76,0.81,32.3,73.5,178,Commercial,83,Nighttime,Standard,HVAC,332.5
1779948101,237.32,3.65,687.08,53.59,0.93,24.2,70.0,971,Industrial,57,Daytime,Standard,Lighting,681.5
1779953261,239.08,11.71,2251.45,177.86,0.94,29.5,75.1,790,Residential,56,Nighttime,Off-Peak,HVAC,897.0
1779958421,222.76,7.79,1465.81,117.26,0.91,34.2,85.9,900,Commercial,29,Daytime,Standard,Computers,276.75
1779963581,223.57,13.62,2403.7,194.7,0.84,29.7,89.3,754,Industrial,67,Nighttime,Peak,Lighting,625.0
1779968741,238.27,19.49,4575.38,375.18,0.89,30.8,69.9,114,Commercial,40,24/7,Peak,HVAC,930.75
1779973901,213.21,19.83,3616.21,300.15,0.88,25.1,54.9,647,Industrial,12,Daytime,Peak,Computers,627.6
1779979061,227.51,2.06,381.2,32.02,0.98,34.8,79.8,187,Industrial,63,24/7,Off-Peak,Computers,767.4
1779984221,228.78,16.14,3544.38,301.27,0.86,32.8,53.0,207,Commercial,26,Daytime,Standard,Lighting,906.0
1779989381,225.41,5.29,1056.45,90.85,0.87,33.4,63.7,819,Commercial,43,Daytime,Peak,Machinery,306.75
1779994541,233.34,8.65,1990.99,173.22,0.95,30.8,60.4,92,Industrial,17,24/7,Peak,Machinery,551.0
1779999701,230.54,11.84,2595.16,228.37,0.89,34.6,78.8,58,Commercial,21,Nighttime,Peak,Machinery,317.75
1780004861,226.34,17.73,3630.71,323.13,0.83,29.1,58.9,160,Residential,33,Daytime,Peak,HVAC,765.7
1780010021,225.05,13.15,2704.66,243.42,0.98,32.5,52.1,25,Commercial,15,24/7,Standard,Computers,296.25
1780015181,237.94,5.07,969.36,88.21,0.96,27.6,50.6,65,Commercial,11,24/7,Standard,HVAC,277.0
1780020341,234.96,9.25,2110.71,194.19,0.95,32.1,68.7,70,Residential,48,Nighttime,Standard,HVAC,463.04999999999995
1780025501,237.52,18.05,3439.26,319.85,0.86,34.2,72.2,138,Residential,98,24/7,Standard,Computers,543.1999999999999
1780030661,223.6,14.29,2532.05,238.01,0.85,31.3,77.7,124,Commercial,50,24/7,Off-Peak,Machinery,322.75
1780035821,213.97,3.2,525.72,49.94,0.88,28.1,51.7,124,Commercial,90,24/7,Peak,Computers,364.5
1780040981,234.69,17.24,3348.22,321.43,0.97,23.7,59.8,199,Industrial,12,Nighttime,Peak,Computers,603.5
1780046141,228.76,3.31,672.61,65.24,0.91,33.1,62.2,569,Commercial,85,24/7,Peak,Machinery,343.5
1780051301,230.54,7.64,1285.14,125.94,0.91,28.0,57.1,342,Commercial,25,Nighttime,Off-Peak,HVAC,300.75
1780056461,213.18,18.44,2773.57,274.58,0.91,34.6,57.8,322,Commercial,88,Daytime,Peak,Machinery,1123.5
1780061621,225.92,13.38,2616.49,261.65,0.82,30.7,59.9,908,Residential,40,Nighttime,Peak,Machinery,591.75
1780066781,235.28,10.26,2088.78,210.97,0.89,31.0,55.1,396,Industrial,61,Daytime,Standard,Lighting,814.8
1780071941,235.26,10.02,1843.87,188.07,0.92,33.4,73.8,329,Residential,87,Nighttime,Standard,Lighting,643.95
1780077101,235.9,14.28,3086.1,317.87,0.91,28.0,51.2,989,Industrial,28,Nighttime,Peak,Lighting,618.0
1780082261,231.3,12.09,2323.22,241.61,0.93,28.1,59.5,173,Residential,64,Nighttime,Peak,Lighting,905.45
1780087421,238.16,15.9,3492.71,366.73,0.97,25.9,80.2,165,Industrial,27,24/7,Peak,HVAC,621.0
1780092581,234.44,7.84,1810.18,191.88,0.87,33.6,57.7,146,Residential,7,Nighttime,Standard,Computers,749.45
1780097741,214.94,11.44,1756.49,187.94,0.97,33.1,72.7,192,Commercial,38,Nighttime,Standard,HVAC,178.5
1780102901,231.92,3.3,663.46,71.65,0.88,26.4,82.7,48,Industrial,78,Daytime,Peak,HVAC,750.0600000000001
1780108061,237.86,4.29,984.19,107.28,0.81,26.5,61.4,103,Industrial,68,Nighttime,Off-Peak,HVAC,793.8000000000001
1780113221,223.33,3.49,768.52,84.54,0.88,29.4,68.5,169,Commercial,21,Nighttime,Standard,HVAC,184.65
1780118381,210.26,8.07,1642.19,182.28,0.97,27.5,64.0,905,Industrial,35,Nighttime,Off-Peak,Computers,572.4
1780123541,212.99,17.12,3245.82,363.53,0.95,26.2,77.0,342,Industrial,33,Daytime,Peak,Lighting,529.65
1780128701,211.27,3.58,693.88,78.41,0.88,24.1,69.6,237,Industrial,43,24/7,Standard,Lighting,573.3000000000001
1780133861,220.07,16.29,2849.81,324.88,0.98,30.0,62.6,645,Commercial,70,Nighttime,Off-Peak,Lighting,214.65
1780139021,239.97,2.86,532.41,61.23,0.98,31.8,50.1,789,Residential,67,24/7,Standard,Computers,718.2
1780144181,220.94,8.87,1869.86,216.9,0.84,25.5,85.5,686,Industrial,26,Daytime,Standard,Computers,609.6600000000001
1780149341,235.93,12.36,2795.69,327.1,0.87,34.4,58.9,707,Industrial,34,Nighttime,Off-Peak,Lighting,663.12
1780154501,239.39,10.01,2108.09,248.75,0.82,33.6,79.9,325,Industrial,77,Daytime,Standard,Machinery,779.22
1780159661,239.51,12.97,2512.16,298.95,0.97,31.3,88.1,809,Industrial,80,Daytime,Peak,Lighting,812.1600000000001
1780164821,224.93,18.36,3439.91,412.79,0.95,30.9,79.9,101,Commercial,55,Nighttime,Peak,Lighting,208.35
1780169981,222.1,9.02,1780.72,215.47,0.81,25.8,54.7,135,Industrial,18,Daytime,Peak,Lighting,573.3000000000001
1780175141,238.15,15.93,3035.89,370.38,0.9,33.3,56.3,29,Industrial,98,Daytime,Peak,Computers,709.65
1780180301,212.79,6.05,933.21,114.78,0.86,32.6,74.7,12,Industrial,68,24/7,Peak,Lighting,671.4
1780185461,213.73,14.11,2941.7,364.77,0.84,30.2,56.2,7,Commercial,77,24/7,Off-Peak,Computers,226.04999999999998
1780190621,215.38,13.78,2100.99,262.62,0.83,28.2,89.7,176,Industrial,8,Nighttime,Peak,Computers,658.8000000000001
1780195781,218.13,15.26,2335.01,294.21,0.9,32.2,70.0,76,Commercial,13,Nighttime,Peak,Computers,186.45
1780200941,229.1,19.85,4107.57,521.66,0.84,31.2,59.8,178,Industrial,58,Daytime,Off-Peak,HVAC,771.12
1780206101,237.44,4.72,1069.78,136.93,0.94,25.6,68.3,273,Residential,75,Nighttime,Peak,HVAC,1172.3400000000001
1780211261,221.67,3.78,644.5,83.14,0.88,27.3,75.4,354,Residential,5,Daytime,Peak,Lighting,867.36
1780216421,213.06,9.45,1595.95,207.47,0.86,25.2,67.4,100,Industrial,96,Nighttime,Standard,Computers,673.65
1780221581,216.79,17.93,3390.61,444.17,0.82,32.0,89.9,953,Commercial,73,Daytime,Off-Peak,Computers,226.79999999999998
1780226741,237.02,10.51,2344.99,309.54,0.96,30.5,67.3,737,Residential,62,Daytime,Peak,HVAC,785.7
1780231901,235.02,12.73,2162.48,287.61,0.9,34.6,62.9,649,Industrial,38,Nighttime,Peak,Machinery,711.72
1780237061,232.13,2.01,447.9,60.02,0.82,27.7,79.9,534,Industrial,56,Daytime,Peak,Lighting,747.9000000000001
1780242221,221.15,4.82,1020.88,137.82,0.94,24.6,50.4,736,Commercial,17,Nighttime,Standard,Machinery,553.5
1780247381,229.75,7.01,1224.5,166.53,0.98,32.4,54.6,293,Commercial,75,Daytime,Standard,Lighting,202.95
1780252541,232.7,3.85,810.04,110.98,0.85,25.0,81.3,46,Commercial,94,Daytime,Standard,HVAC,221.7
1780257701,210.85,10.65,2038.55,281.32,0.86,25.5,73.8,87,Commercial,42,24/7,Peak,HVAC,188.85
1780262861,216.4,8.15,1309.12,181.97,0.97,34.7,87.6,159,Industrial,70,Nighttime,Off-Peak,HVAC,653.4
1780268021,225.4,15.54,2662.33,372.73,0.87,34.3,85.4,41,Commercial,28,Daytime,Peak,Machinery,183.75
1780273181,220.18,4.94,898.17,126.64,0.85,27.3,88.6,127,Industrial,20,24/7,Off-Peak,Computers,751.1999999999999
1780278341,239.57,3.16,709.55,100.76,0.91,27.7,89.7,137,Commercial,81,24/7,Standard,Computers,377.25
1780283501,226.09,13.32,2187.58,312.82,0.89,25.0,84.5,181,Residential,94,24/7,Standard,Computers,510.29999999999995
1780288661,210.8,19.37,3356.11,483.28,0.83,29.7,75.9,153,Industrial,73,24/7,Standard,Lighting,894.6
1780293821,224.54,8.66,1789.01,259.41,0.95,28.8,77.8,865,Commercial,96,Daytime,Peak,Lighting,374.5
1780298981,218.93,18.55,3499.23,510.89,0.99,33.4,55.1,244,Residential,99,Daytime,Off-Peak,Machinery,947.0500000000001
1780304141,230.28,7.62,1705.72,250.74,0.82,25.3,51.0,943,Residential,53,Daytime,Peak,Machinery,939.9
1780309301,220.43,14.16,2962.21,438.41,0.87,27.0,56.9,920,Industrial,1,Nighttime,Off-Peak,HVAC,586.5
1780314461,222.83,16.05,3055.87,455.32,0.86,26.2,88.9,797,Residential,21,24/7,Standard,HVAC,599.4
1780319621,230.39,12.64,2483.93,372.59,0.91,27.7,86.1,525,Industrial,43,24/7,Standard,Machinery,817.8
1780324781,229.94,4.87,1023.74,154.58,0.86,26.2,78.6,584,Commercial,27,24/7,Standard,Computers,930.0
1780329941,215.7,15.25,2652.5,403.18,0.99,28.8,87.4,495,Residential,16,24/7,Standard,HVAC,526.95
1780335101,239.76,11.95,2763.43,422.8,0.88,25.9,52.0,657,Industrial,51,Nighttime,Peak,Computers,727.0
1780340261,228.45,11.19,1802.83,277.64,0.92,33.8,86.4,140,Industrial,50,Daytime,Peak,Machinery,725.5
1780345421,227.74,8.89,1928.13,298.86,0.94,34.6,66.8,113,Commercial,30,24/7,Off-Peak,Machinery,301.5
1780350581,238.57,11.15,2472.51,385.71,0.83,26.5,62.9,169,Residential,79,Nighttime,Off-Peak,Computers,943.15
1780355741,232.21,8.25,1796.62,282.07,0.96,33.4,88.3,46,Residential,64,24/7,Off-Peak,Computers,496.29999999999995
1780360901,218.5,5.47,910.84,143.91,0.91,23.7,51.5,54,Residential,17,24/7,Standard,Lighting,453.24999999999994
1780366061,235.4,6.85,1590.94,252.96,0.87,24.7,65.1,53,Residential,98,24/7,Standard,HVAC,556.5
1780371221,215.0,18.53,3040.57,486.49,0.84,24.6,78.9,18,Industrial,6,24/7,Peak,HVAC,741.0
1780376381,224.99,3.86,853.92,137.48,0.98,26.3,58.1,62,Industrial,82,Daytime,Peak,Machinery,919.1999999999999
1780381541,213.42,2.63,461.36,74.74,0.87,31.9,77.7,599,Industrial,2,Daytime,Peak,Lighting,585.5
1780386701,226.65,5.03,1049.29,171.03,0.95,33.6,61.5,525,Industrial,97,Nighttime,Peak,Machinery,801.0
1780391861,238.18,3.15,560.62,91.94,0.97,27.7,88.1,255,Industrial,60,24/7,Off-Peak,Computers,709.5
1780397021,217.91,9.54,2047.85,337.9,0.98,28.4,69.4,666,Industrial,99,Daytime,Standard,HVAC,827.0
1780402181,228.03,17.4,3252.4,539.9,0.91,24.7,75.2,928,Commercial,65,Nighttime,Standard,Computers,1125.75
1780407341,213.72,5.5,1137.33,189.93,0.95,29.7,68.9,449,Residential,29,Daytime,Off-Peak,Machinery,555.3000000000001
1780412501,223.39,14.03,2737.46,459.89,0.98,25.0,70.6,863,Industrial,64,Daytime,Off-Peak,Machinery,808.1999999999999
1780417661,219.65,17.85,3606.75,609.54,0.83,27.9,78.8,228,Industrial,38,Nighttime,Standard,Lighting,771.6
1780422821,224.42,7.02,1521.69,258.69,0.87,27.6,53.8,151,Industrial,23,24/7,Standard,Machinery,665.5
1780427981,228.47,13.96,2850.29,487.4,0.91,29.5,72.0,69,Residential,88,Daytime,Peak,Machinery,1001.0
1780433141,233.44,3.64,776.3,133.52,0.82,31.9,64.2,4,Residential,25,Nighttime,Standard,Lighting,830.0500000000001
1780438301,218.74,9.2,1462.85,253.07,0.96,28.5,66.1,184,Industrial,6,Nighttime,Standard,Computers,588.0
1780443461,221.63,13.36,2429.56,422.74,0.98,34.3,80.3,108,Residential,96,24/7,Off-Peak,Machinery,556.8499999999999
1780448621,238.6,6.9,1236.64,216.41,0.97,32.5,61.1,154,Commercial,45,24/7,Off-Peak,HVAC,348.5
1780453781,219.64,11.71,2288.48,402.77,0.86,32.3,74.3,1,Industrial,55,Nighttime,Off-Peak,Machinery,892.1999999999999
1780458941,210.99,12.53,2298.48,406.83,0.95,24.8,82.3,137,Industrial,25,Daytime,Off-Peak,Machinery,726.0
1780464101,232.46,13.97,2912.58,518.44,0.82,31.1,61.5,854,Residential,80,24/7,Off-Peak,Lighting,910.65
1780469261,232.71,14.97,3143.6,562.7,0.86,31.0,59.6,968,Residential,14,Nighttime,Peak,Computers,815.1
1780474421,211.95,7.32,1456.7,262.21,0.88,33.6,71.5,679,Residential,78,Nighttime,Off-Peak,HVAC,919.75
1780479581,211.46,11.81,1933.4,349.95,0.82,32.9,71.4,754,Residential,33,24/7,Standard,Lighting,861.9
1780484741,239.18,17.17,3274.41,595.94,0.88,33.4,50.2,232,Residential,6,24/7,Peak,Machinery,517.0500000000001
1780489901,211.03,9.24,1559.88,285.46,0.88,34.8,73.9,717,Industrial,51,Nighttime,Standard,Lighting,824.4
1780495061,218.13,7.08,1267.9,233.29,0.84,30.1,76.8,298,Residential,37,Nighttime,Standard,Computers,577.35
1780500221,233.04,13.74,2733.24,505.65,0.95,29.5,52.1,625,Commercial,77,Daytime,Off-Peak,Computers,1170.0
1780505381,226.87,7.42,1445.51,268.86,0.91,33.7,62.8,497,Industrial,23,24/7,Off-Peak,Computers,721.8
1780510541,211.17,16.7,3391.04,634.12,0.86,33.5,51.3,197,Residential,55,24/7,Peak,Computers,886.6
1780515701,229.18,17.78,3345.71,628.99,0.93,30.5,63.9,42,Industrial,68,Daytime,Standard,HVAC,717.5
1780520861,234.61,17.57,3208.05,606.32,0.85,35.4,89.7,157,Residential,100,Nighttime,Peak,Lighting,1092.0
1780526021,211.63,3.5,638.09,121.24,0.86,31.3,81.9,198,Industrial,37,24/7,Standard,HVAC,684.5
1780531181,224.83,6.48,1354.9,258.79,0.85,28.8,89.8,42,Commercial,75,Nighttime,Peak,Computers,349.5
1780536341,227.5,17.06,3449.58,662.32,0.81,33.6,82.9,127,Industrial,72,Daytime,Standard,Machinery,945.0
1780541501,217.19,10.16,1756.03,338.91,0.92,25.8,64.7,55,Residential,5,Daytime,Standard,Machinery,393.4
1780546661,217.46,8.05,1374.1,266.58,0.83,32.7,69.2,148,Residential,12,Daytime,Peak,Machinery,410.54999999999995
1780551821,236.47,7.1,1274.87,248.6,0.81,24.4,63.1,789,Residential,16,24/7,Off-Peak,Computers,843.7
1780556981,220.3,13.97,2855.99,559.77,0.85,32.9,84.9,468,Commercial,37,24/7,Off-Peak,HVAC,340.25
1780562141,211.3,16.56,2802.02,552.0,0.85,31.7,71.6,243,Residential,61,Daytime,Standard,Machinery,984.1
1780567301,238.75,12.34,2530.82,501.1,0.88,31.9,83.7,680,Industrial,13,24/7,Off-Peak,Machinery,613.5
1780572461,214.57,10.28,1779.09,354.04,0.86,23.8,51.9,835,Industrial,58,Daytime,Peak,HVAC,872.4
1780577621,213.67,15.43,3114.09,622.82,0.86,35.3,72.3,139,Industrial,80,Daytime,Standard,Machinery,913.8
1780582781,219.69,13.77,2863.4,575.54,0.98,34.4,78.3,741,Industrial,37,24/7,Peak,HVAC,764.4
1780587941,225.02,4.33,722.31,145.91,0.82,30.2,56.0,786,Commercial,78,24/7,Off-Peak,Lighting,1173.75
1780593101,235.01,4.38,973.48,197.62,0.86,29.5,68.0,755,Industrial,85,Nighttime,Peak,Computers,804.0
1780598261,212.55,17.07,3398.86,693.37,0.91,32.4,77.9,52,Industrial,2,Nighttime,Standard,Computers,621.5
1780603421,212.01,14.77,2393.46,490.66,0.97,28.6,51.1,164,Commercial,62,24/7,Off-Peak,Machinery,359.0
1780608581,229.81,10.98,2358.24,485.8,0.83,25.9,88.5,169,Commercial,45,24/7,Standard,Computers,339.25
1780613741,230.41,2.5,481.05,99.58,0.9,29.8,65.7,14,Commercial,55,24/7,Standard,Computers,351.5
1780618901,212.32,8.32,1682.83,350.03,0.9,34.4,55.9,11,Industrial,88,Nighttime,Standard,Lighting,994.1999999999999
1780624061,222.72,10.85,2022.41,422.68,0.84,25.9,61.7,63,Commercial,96,24/7,Peak,HVAC,393.0
1780629221,237.89,14.74,2512.04,527.53,0.81,25.5,52.1,27,Commercial,10,Nighttime,Off-Peak,Machinery,323.25
1780634381,213.55,17.42,3075.73,648.98,0.93,29.2,50.0,139,Residential,15,24/7,Off-Peak,Computers,458.49999999999994
1780639541,228.45,18.88,3280.59,695.49,0.96,28.3,87.4,255,Residential,91,24/7,Peak,Machinery,1012.0500000000001
1780644701,226.95,17.61,2897.83,617.24,0.83,28.6,69.6,566,Residential,14,Daytime,Off-Peak,HVAC,872.3000000000001
1780649861,219.16,13.37,2185.84,467.77,0.83,28.2,64.3,397,Commercial,67,24/7,Off-Peak,Lighting,380.75
1780655021,232.12,4.63,825.92,177.57,0.94,31.7,76.8,843,Residential,14,Daytime,Off-Peak,HVAC,780.0
1780660181,239.51,16.03,3588.54,775.12,0.98,32.1,84.9,160,Commercial,27,Daytime,Off-Peak,Lighting,918.75
1780665341,232.17,17.31,3288.28,713.56,0.84,27.8,61.1,567,Residential,54,Daytime,Peak,Lighting,673.2
1780670501,226.74,12.01,2086.08,454.77,0.84,32.0,64.8,926,Industrial,99,Daytime,Off-Peak,HVAC,973.8
1780675661,234.54,5.28,955.06,209.16,0.87,25.9,74.2,753,Industrial,15,24/7,Standard,Machinery,816.0
1780680821,214.74,18.71,3148.26,692.62,0.98,31.6,86.2,660,Industrial,45,Daytime,Standard,HVAC,659.5
1780685981,231.83,13.22,2189.93,483.97,0.98,25.8,60.7,117,Residential,14,24/7,Off-Peak,Lighting,865.8000000000001
1780691141,213.92,4.56,814.89,180.91,0.95,33.0,89.9,65,Industrial,86,Daytime,Peak,Machinery,817.5
1780696301,224.22,19.76,3753.95,837.13,0.97,29.6,59.2,98,Residential,14,24/7,Standard,Lighting,781.3000000000001
